aX,aY,aZ,gX,gY,gZ
0.092,0.733,-0.326,6.342,-2.431,-0.078
0.094,0.746,-0.407,6.238,-2.434,-0.066
0.093,0.754,-0.490,6.110,-2.441,-0.057
0.096,0.766,-0.576,5.959,-2.455,-0.052
0.099,0.772,-0.660,5.785,-2.469,-0.047
0.095,0.770,-0.744,5.589,-2.479,-0.042
0.095,0.778,-0.829,5.374,-2.492,-0.036
0.097,0.788,-0.910,5.141,-2.506,-0.030
0.099,0.796,-0.993,4.889,-2.507,-0.021
0.101,0.802,-1.075,4.619,-2.493,-0.010
0.104,0.809,-1.155,4.332,-2.462,0.005
0.107,0.817,-1.230,4.032,-2.405,0.022
0.110,0.821,-1.300,3.719,-2.326,0.040
0.110,0.821,-1.366,3.397,-2.222,0.062
0.110,0.819,-1.422,3.066,-2.097,0.084
0.107,0.815,-1.471,2.729,-1.949,0.106
0.102,0.809,-1.511,2.389,-1.787,0.130
0.076,0.774,-1.579,0.912,-1.037,0.220
0.073,0.762,-1.576,0.583,-0.874,0.242
0.070,0.751,-1.564,0.263,-0.719,0.263
0.068,0.736,-1.544,-0.047,-0.573,0.283
0.067,0.721,-1.519,-0.342,-0.432,0.303
0.068,0.705,-1.491,-0.623,-0.299,0.321
0.071,0.689,-1.458,-0.886,-0.170,0.338
0.076,0.674,-1.421,-1.131,-0.049,0.354
0.082,0.660,-1.382,-1.359,0.065,0.366
0.089,0.650,-1.337,-1.568,0.173,0.376
0.098,0.640,-1.292,-1.759,0.276,0.381
0.106,0.631,-1.244,-1.932,0.374,0.382
0.114,0.622,-1.195,-2.088,0.468,0.378
0.123,0.616,-1.148,-2.228,0.558,0.368
0.130,0.612,-1.099,-2.353,0.643,0.354
0.136,0.608,-1.051,-2.465,0.720,0.333
0.139,0.605,-1.002,-2.563,0.791,0.308
0.139,0.602,-0.955,-2.650,0.852,0.276
0.139,0.600,-0.907,-2.725,0.905,0.241
0.139,0.601,-0.860,-2.790,0.948,0.200
0.138,0.604,-0.814,-2.845,0.982,0.159
0.134,0.608,-0.774,-2.890,1.009,0.115
0.097,0.658,-0.606,-3.019,0.987,-0.099
0.090,0.673,-0.574,-3.039,0.952,-0.135
0.088,0.692,-0.547,-3.058,0.913,-0.165
0.088,0.714,-0.523,-3.071,0.876,-0.187
0.091,0.735,-0.502,-3.081,0.847,-0.203
0.096,0.757,-0.483,-3.084,0.832,-0.213
0.101,0.771,-0.469,-3.080,0.832,-0.217
0.107,0.788,-0.449,-3.066,0.849,-0.220
0.116,0.799,-0.427,-3.040,0.888,-0.222
0.120,0.806,-0.403,-3.005,0.942,-0.220
0.121,0.810,-0.377,-2.962,1.006,-0.218

-0.075,1.066,0.906,0.482,1.785,-0.018
-0.101,1.076,0.982,0.617,1.854,0.031
-0.118,1.083,1.034,0.714,1.889,0.068
-0.145,1.093,1.113,0.875,1.925,0.132
-0.174,1.092,1.189,1.063,1.935,0.206
-0.200,1.077,1.267,1.290,1.917,0.295
-0.230,1.044,1.346,1.559,1.873,0.400
-0.264,0.992,1.424,1.877,1.797,0.524
-0.304,0.924,1.502,2.242,1.683,0.666
-0.346,0.852,1.577,2.653,1.520,0.825
-0.391,0.779,1.644,3.103,1.297,0.995
-0.433,0.712,1.703,3.588,1.003,1.170
-0.467,0.653,1.751,4.096,0.632,1.339
-0.492,0.599,1.782,4.620,0.193,1.498
-0.505,0.544,1.793,5.153,-0.304,1.639
-0.504,0.486,1.784,5.689,-0.844,1.757
-0.490,0.429,1.754,6.223,-1.402,1.847
-0.467,0.370,1.698,6.749,-1.963,1.912
-0.437,0.308,1.624,7.267,-2.514,1.951
-0.399,0.245,1.527,7.770,-3.036,1.963
-0.357,0.185,1.411,8.256,-3.523,1.955
-0.315,0.127,1.278,8.722,-3.967,1.929
-0.269,0.074,1.130,9.160,-4.367,1.889
-0.221,0.031,0.969,9.566,-4.721,1.840
-0.170,-0.005,0.797,9.937,-5.021,1.780
0.047,-0.069,-0.034,11.019,-5.569,1.448
0.089,-0.061,-0.234,11.132,-5.501,1.354
0.128,-0.045,-0.434,11.189,-5.364,1.255
0.165,-0.018,-0.634,11.192,-5.163,1.156
0.196,0.011,-0.825,11.137,-4.905,1.058
0.222,0.049,-1.004,11.022,-4.609,0.963
0.239,0.091,-1.173,10.844,-4.292,0.877
0.251,0.132,-1.325,10.607,-3.979,0.800
0.254,0.169,-1.464,10.310,-3.685,0.734
0.251,0.203,-1.588,9.956,-3.432,0.678
0.240,0.238,-1.706,9.544,-3.225,0.627
0.235,0.277,-1.810,9.081,-3.062,0.576
0.238,0.322,-1.914,8.568,-2.929,0.526
0.246,0.369,-2.009,8.015,-2.823,0.477
0.259,0.414,-2.096,7.427,-2.730,0.424
0.269,0.447,-2.177,6.814,-2.629,0.367
0.278,0.476,-2.247,6.180,-2.513,0.303
0.287,0.500,-2.305,5.532,-2.381,0.236
0.289,0.523,-2.351,4.879,-2.234,0.164
0.295,0.542,-2.375,4.224,-2.052,0.083
0.250,0.565,-2.348,1.408,-1.264,-0.248
0.235,0.561,-2.310,0.784,-1.122,-0.318
0.221,0.554,-2.264,0.182,-0.989,-0.381
0.208,0.546,-2.210,-0.396,-0.861,-0.436
0.195,0.536,-2.149,-0.944,-0.735,-0.482
0.183,0.528,-2.080,-1.461,-0.607,-0.520
0.163,0.518,-1.980,-2.102,-0.432,-0.558
0.145,0.509,-1.900,-2.543,-0.300,-0.580
0.126,0.498,-1.818,-2.953,-0.171,-0.597
0.105,0.487,-1.730,-3.330,-0.051,-0.611
0.084,0.477,-1.643,-3.674,0.060,-0.623
0.065,0.466,-1.558,-3.987,0.160,-0.632
0.046,0.457,-1.475,-4.269,0.247,-0.639
0.027,0.449,-1.393,-4.522,0.322,-0.644
0.007,0.441,-1.317,-4.745,0.386,-0.646
-0.012,0.435,-1.246,-4.940,0.440,-0.646
-0.031,0.432,-1.176,-5.110,0.482,-0.644
-0.049,0.431,-1.111,-5.256,0.515,-0.639
-0.121,0.451,-0.870,-5.677,0.578,-0.582
-0.132,0.467,-0.826,-5.738,0.578,-0.562
-0.139,0.484,-0.784,-5.789,0.579,-0.536
-0.139,0.502,-0.743,-5.830,0.585,-0.508
-0.140,0.521,-0.711,-5.859,0.603,-0.476
-0.134,0.539,-0.678,-5.875,0.634,-0.442
-0.130,0.558,-0.647,-5.875,0.686,-0.409
-0.117,0.569,-0.610,-5.857,0.761,-0.376
-0.111,0.577,-0.576,-5.826,0.860,-0.344
-0.102,0.579,-0.536,-5.779,0.974,-0.313
-0.102,0.580,-0.495,-5.723,1.098,-0.282
-0.100,0.587,-0.451,-5.658,1.212,-0.253
-0.101,0.591,-0.408,-5.588,1.314,-0.223
-0.106,0.605,-0.364,-5.514,1.394,-0.197
-0.105,0.617,-0.320,-5.437,1.445,-0.170
-0.105,0.629,-0.276,-5.359,1.476,-0.145
-0.104,0.648,-0.235,-5.281,1.487,-0.123

-0.136,1.028,0.873,-0.169,1.485,-0.057
-0.165,1.042,0.933,-0.072,1.552,-0.027
-0.192,1.051,0.995,0.043,1.598,0.011
-0.226,1.049,1.055,0.180,1.620,0.056
-0.263,1.034,1.118,0.344,1.608,0.114
-0.302,1.009,1.181,0.535,1.568,0.186
-0.343,0.983,1.244,0.757,1.495,0.271
-0.381,0.959,1.305,1.011,1.388,0.372
-0.421,0.929,1.363,1.305,1.237,0.486
-0.468,0.893,1.417,1.634,1.039,0.611
-0.512,0.854,1.468,1.992,0.794,0.744
-0.549,0.815,1.514,2.376,0.513,0.883
-0.575,0.781,1.552,2.784,0.206,1.025
-0.589,0.754,1.580,3.207,-0.107,1.169
-0.592,0.732,1.601,3.643,-0.419,1.312
-0.588,0.719,1.609,3.938,-0.620,1.404
-0.578,0.700,1.609,4.382,-0.901,1.537
-0.563,0.673,1.602,4.826,-1.153,1.663
-0.548,0.642,1.585,5.265,-1.380,1.783
-0.532,0.609,1.561,5.696,-1.591,1.893
-0.514,0.574,1.529,6.115,-1.805,1.998
-0.491,0.533,1.485,6.525,-2.021,2.095
-0.467,0.488,1.429,6.922,-2.244,2.184
-0.442,0.436,1.363,7.309,-2.481,2.265
-0.413,0.380,1.284,7.686,-2.733,2.335
-0.251,0.155,0.791,9.231,-4.017,2.480
-0.213,0.127,0.660,9.496,-4.290,2.460
-0.175,0.105,0.523,9.730,-4.553,2.423
-0.139,0.087,0.381,9.927,-4.800,2.372
-0.104,0.075,0.237,10.087,-5.027,2.305
-0.066,0.071,0.087,10.207,-5.221,2.221
-0.024,0.071,-0.067,10.287,-5.367,2.124
0.023,0.079,-0.225,10.328,-5.450,2.015
0.071,0.095,-0.385,10.329,-5.462,1.893
0.120,0.121,-0.549,10.292,-5.392,1.769
0.169,0.152,-0.710,10.213,-5.248,1.640
0.199,0.174,-0.815,10.137,-5.111,1.555
0.239,0.209,-0.966,9.985,-4.858,1.429
0.270,0.246,-1.109,9.784,-4.563,1.309
0.292,0.287,-1.241,9.533,-4.248,1.196
0.304,0.327,-1.362,9.231,-3.939,1.095
0.308,0.364,-1.471,8.878,-3.651,1.005
0.305,0.398,-1.572,8.474,-3.400,0.925
0.299,0.425,-1.665,8.024,-3.188,0.855
0.291,0.449,-1.750,7.536,-3.018,0.794
0.282,0.470,-1.827,7.014,-2.866,0.732
0.249,0.532,-2.081,4.367,-2.276,0.460
0.247,0.534,-2.106,3.800,-2.127,0.372
0.256,0.534,-2.119,3.243,-1.951,0.285
0.264,0.538,-2.126,2.696,-1.759,0.208
0.265,0.542,-2.121,2.159,-1.563,0.137
0.257,0.542,-2.103,1.635,-1.374,0.073
0.242,0.538,-2.080,1.121,-1.193,0.012
0.225,0.534,-2.050,0.622,-1.024,-0.052
0.209,0.530,-2.011,0.136,-0.862,-0.117
0.199,0.525,-1.965,-0.329,-0.702,-0.184
0.195,0.522,-1.918,-0.770,-0.537,-0.252
0.193,0.520,-1.866,-1.189,-0.364,-0.318
0.188,0.514,-1.809,-1.580,-0.184,-0.383
0.180,0.504,-1.747,-1.946,0.000,-0.447
0.170,0.492,-1.681,-2.286,0.183,-0.508
0.156,0.479,-1.612,-2.599,0.359,-0.566
0.141,0.470,-1.543,-2.887,0.521,-0.624
0.127,0.464,-1.473,-3.151,0.669,-0.679
0.112,0.460,-1.403,-3.391,0.799,-0.732
0.098,0.459,-1.336,-3.609,0.910,-0.783
0.043,0.463,-1.069,-4.310,1.249,-0.964
0.033,0.470,-1.012,-4.421,1.305,-0.996
0.023,0.476,-0.960,-4.513,1.354,-1.025
0.014,0.483,-0.906,-4.589,1.397,-1.050
0.005,0.491,-0.855,-4.649,1.439,-1.074
-0.004,0.499,-0.805,-4.692,1.479,-1.096
-0.013,0.510,-0.754,-4.722,1.521,-1.116
-0.021,0.522,-0.706,-4.739,1.562,-1.136
-0.030,0.534,-0.661,-4.744,1.601,-1.151
-0.039,0.547,-0.615,-4.739,1.635,-1.164
-0.051,0.560,-0.570,-4.726,1.663,-1.175
-0.063,0.573,-0.526,-4.705,1.685,-1.182
-0.077,0.589,-0.483,-4.678,1.697,-1.189
-0.088,0.606,-0.442,-4.646,1.700,-1.191

0.024,0.991,0.927,0.366,0.055,0.021
0.017,0.985,0.979,0.466,0.072,0.026
0.004,0.975,1.035,0.591,0.084,0.030
-0.016,0.955,1.087,0.742,0.080,0.032
-0.038,0.925,1.138,0.919,0.055,0.036
-0.084,0.858,1.179,1.126,-0.003,0.046
-0.108,0.824,1.239,1.348,-0.101,0.060
-0.107,0.824,1.276,1.589,-0.202,0.081
-0.101,0.826,1.312,1.870,-0.330,0.113
-0.106,0.809,1.353,2.184,-0.469,0.149
-0.124,0.772,1.385,2.522,-0.613,0.181
-0.142,0.730,1.415,2.882,-0.759,0.208
-0.156,0.696,1.440,3.257,-0.905,0.230
-0.165,0.673,1.460,3.639,-1.053,0.247
-0.172,0.659,1.472,4.029,-1.206,0.262
-0.177,0.653,1.478,4.424,-1.368,0.274
-0.180,0.644,1.475,4.821,-1.538,0.283
-0.185,0.628,1.461,5.218,-1.709,0.293
-0.190,0.603,1.438,5.613,-1.885,0.302
-0.198,0.573,1.404,6.003,-2.060,0.311
-0.207,0.541,1.357,6.390,-2.235,0.318
-0.216,0.508,1.300,6.772,-2.407,0.324
-0.223,0.475,1.230,7.142,-2.578,0.328
-0.226,0.446,1.150,7.500,-2.745,0.331
-0.207,0.375,0.677,8.811,-3.463,0.347
-0.193,0.373,0.550,9.040,-3.609,0.349
-0.184,0.360,0.411,9.242,-3.736,0.348
-0.175,0.345,0.278,9.414,-3.845,0.343
-0.169,0.327,0.139,9.550,-3.927,0.331
-0.165,0.312,-0.003,9.649,-3.983,0.315
-0.159,0.300,-0.148,9.710,-4.011,0.294
-0.151,0.297,-0.292,9.734,-4.007,0.270
-0.139,0.300,-0.435,9.723,-3.967,0.247
-0.125,0.309,-0.576,9.674,-3.892,0.225
-0.112,0.322,-0.712,9.589,-3.782,0.205
-0.101,0.338,-0.842,9.466,-3.643,0.189
-0.091,0.353,-0.970,9.306,-3.477,0.178
-0.081,0.371,-1.090,9.108,-3.293,0.170
-0.071,0.391,-1.202,8.875,-3.096,0.166
-0.065,0.408,-1.307,8.610,-2.891,0.165
-0.064,0.423,-1.402,8.313,-2.688,0.166
-0.063,0.435,-1.487,7.987,-2.493,0.168
-0.063,0.449,-1.563,7.632,-2.318,0.171
-0.063,0.462,-1.631,7.248,-2.158,0.175
-0.061,0.521,-1.827,5.325,-1.705,0.197
-0.057,0.535,-1.856,4.841,-1.631,0.196
-0.056,0.545,-1.880,4.353,-1.554,0.190
-0.055,0.552,-1.899,3.865,-1.469,0.181
-0.057,0.554,-1.910,3.383,-1.376,0.168
-0.059,0.552,-1.917,2.909,-1.274,0.151
-0.061,0.549,-1.918,2.447,-1.160,0.132
-0.061,0.545,-1.912,1.999,-1.034,0.113
-0.062,0.541,-1.900,1.563,-0.900,0.093
-0.063,0.538,-1.880,1.144,-0.761,0.076
