aX,aY,aZ,gX,gY,gZ
-1.096,0.983,0.777,1.194,-1.202,4.491
-1.060,0.936,0.754,1.240,-1.238,4.792
-1.017,0.880,0.727,1.283,-1.262,5.090
-0.972,0.821,0.694,1.325,-1.277,5.379
-0.920,0.761,0.663,1.363,-1.282,5.649
-0.633,0.523,0.539,1.490,-1.229,6.543
-0.558,0.473,0.511,1.510,-1.196,6.676
-0.487,0.418,0.485,1.525,-1.159,6.781
-0.413,0.359,0.456,1.536,-1.120,6.861
-0.335,0.303,0.424,1.541,-1.074,6.919
-0.250,0.249,0.390,1.542,-1.023,6.955
-0.156,0.201,0.352,1.537,-0.959,6.972
-0.054,0.165,0.309,1.526,-0.878,6.969
0.054,0.144,0.270,1.510,-0.778,6.941
0.172,0.146,0.233,1.488,-0.659,6.890
0.281,0.151,0.205,1.461,-0.519,6.817
0.376,0.147,0.175,1.428,-0.367,6.720
0.463,0.128,0.162,1.388,-0.205,6.596
0.548,0.110,0.151,1.337,-0.046,6.450
0.637,0.110,0.144,1.273,0.098,6.283
0.725,0.116,0.138,1.199,0.238,6.097
0.808,0.135,0.135,1.122,0.372,5.892
0.880,0.154,0.136,1.039,0.495,5.669
0.940,0.172,0.141,0.954,0.597,5.430
0.996,0.190,0.149,0.864,0.674,5.176
1.043,0.206,0.164,0.774,0.725,4.912
1.086,0.221,0.176,0.682,0.757,4.640
1.122,0.231,0.191,0.591,0.767,4.364
1.153,0.237,0.208,0.500,0.747,4.084
1.182,0.248,0.223,0.409,0.703,3.801
1.210,0.264,0.236,0.319,0.648,3.516
1.235,0.278,0.246,0.230,0.589,3.230
1.254,0.288,0.258,0.143,0.524,2.947
1.269,0.299,0.269,0.059,0.454,2.668
1.285,0.310,0.279,-0.023,0.386,2.395
1.324,0.367,0.317,-0.334,0.112,1.309
1.327,0.378,0.326,-0.397,0.052,1.086
1.330,0.387,0.333,-0.457,-0.007,0.872
1.333,0.392,0.339,-0.511,-0.065,0.665
1.343,0.408,0.342,-0.560,-0.117,0.463
1.344,0.416,0.347,-0.612,-0.164,0.270
1.361,0.402,0.342,-0.659,-0.197,0.077
1.382,0.407,0.341,-0.696,-0.202,-0.113
1.397,0.410,0.339,-0.731,-0.180,-0.293
1.411,0.406,0.334,-0.760,-0.125,-0.464
1.426,0.397,0.329,-0.780,-0.028,-0.635
1.440,0.390,0.332,-0.791,0.105,-0.810
1.452,0.379,0.338,-0.795,0.264,-0.990
1.457,0.366,0.346,-0.791,0.441,-1.178
1.451,0.352,0.359,-0.780,0.624,-1.371
1.439,0.335,0.374,-0.763,0.805,-1.572
1.422,0.318,0.390,-0.742,0.982,-1.783
1.402,0.300,0.409,-0.714,1.158,-2.004
1.377,0.282,0.427,-0.682,1.329,-2.233
1.348,0.267,0.446,-0.646,1.493,-2.470
1.314,0.254,0.465,-0.606,1.644,-2.708
1.272,0.241,0.483,-0.564,1.780,-2.946
1.226,0.233,0.502,-0.520,1.895,-3.180
0.993,0.271,0.587,-0.355,2.101,-4.111
0.936,0.285,0.600,-0.329,2.086,-4.299
0.878,0.296,0.611,-0.310,2.053,-4.474

-0.368,0.930,0.733,-0.250,-0.302,-2.998
-0.377,0.954,0.733,-0.211,-0.311,-2.856
-0.385,0.973,0.730,-0.167,-0.302,-2.712
-0.397,0.987,0.732,-0.123,-0.285,-2.562
-0.413,0.999,0.739,-0.079,-0.274,-2.403
-0.429,1.008,0.743,-0.035,-0.268,-2.236
-0.443,1.011,0.748,0.005,-0.277,-2.061
-0.452,1.013,0.756,0.042,-0.308,-1.882
-0.456,1.012,0.756,0.077,-0.351,-1.701
-0.456,1.011,0.754,0.109,-0.397,-1.522
-0.450,1.011,0.751,0.140,-0.441,-1.352
-0.437,1.009,0.745,0.172,-0.480,-1.188
-0.422,1.005,0.733,0.204,-0.512,-1.033
-0.406,0.995,0.723,0.235,-0.535,-0.889
-0.390,0.981,0.714,0.263,-0.553,-0.752
-0.372,0.965,0.705,0.287,-0.568,-0.627
-0.356,0.949,0.693,0.309,-0.582,-0.511
-0.339,0.935,0.685,0.325,-0.598,-0.404
-0.320,0.920,0.675,0.336,-0.616,-0.311
-0.235,0.864,0.623,0.346,-0.686,-0.015
-0.212,0.855,0.610,0.343,-0.699,0.031
-0.189,0.843,0.598,0.339,-0.703,0.070
-0.168,0.828,0.586,0.334,-0.697,0.105
-0.149,0.813,0.577,0.330,-0.680,0.135
-0.131,0.799,0.567,0.325,-0.657,0.161
-0.113,0.786,0.559,0.318,-0.630,0.181
-0.094,0.775,0.551,0.310,-0.599,0.194
-0.077,0.765,0.546,0.300,-0.566,0.201
-0.061,0.758,0.539,0.289,-0.533,0.200
-0.045,0.753,0.535,0.278,-0.498,0.193
-0.032,0.747,0.530,0.266,-0.464,0.179
-0.020,0.740,0.526,0.254,-0.429,0.159
-0.011,0.733,0.523,0.242,-0.393,0.134
-0.002,0.727,0.519,0.228,-0.358,0.105
0.006,0.722,0.516,0.215,-0.322,0.073
0.013,0.718,0.513,0.200,-0.287,0.038
0.018,0.718,0.512,0.185,-0.253,0.002
0.022,0.719,0.512,0.170,-0.219,-0.035
0.024,0.721,0.512,0.152,-0.187,-0.074
0.024,0.724,0.513,0.133,-0.159,-0.113
0.019,0.728,0.515,0.114,-0.135,-0.151
0.016,0.733,0.518,0.095,-0.116,-0.186
-0.009,0.755,0.533,0.019,-0.064,-0.300
-0.015,0.759,0.538,0.004,-0.054,-0.316
-0.021,0.765,0.545,-0.010,-0.040,-0.329
-0.028,0.772,0.549,-0.021,-0.026,-0.339
-0.037,0.777,0.556,-0.031,-0.011,-0.348
-0.048,0.782,0.564,-0.038,0.003,-0.355
-0.056,0.786,0.571,-0.045,0.014,-0.360
-0.066,0.791,0.579,-0.049,0.021,-0.361
-0.076,0.796,0.586,-0.050,0.026,-0.361
-0.085,0.802,0.592,-0.050,0.027,-0.357
-0.093,0.806,0.598,-0.048,0.026,-0.349
-0.100,0.811,0.602,-0.045,0.023,-0.338
-0.106,0.815,0.607,-0.039,0.019,-0.324
-0.109,0.819,0.612,-0.032,0.015,-0.306
-0.114,0.822,0.616,-0.024,0.010,-0.286
-0.116,0.826,0.619,-0.016,0.004,-0.265
-0.115,0.828,0.622,-0.006,0.001,-0.241
-0.116,0.828,0.625,0.002,-0.003,-0.216
-0.115,0.829,0.628,0.009,-0.007,-0.190
-0.098,0.829,0.629,0.038,-0.042,-0.090
-0.092,0.826,0.628,0.047,-0.048,-0.070
-0.088,0.822,0.626,0.057,-0.054,-0.052
-0.083,0.818,0.625,0.067,-0.061,-0.035
-0.077,0.815,0.623,0.077,-0.065,-0.020
-0.072,0.811,0.621,0.086,-0.070,-0.007
-0.068,0.808,0.617,0.096,-0.073,0.002
-0.064,0.804,0.616,0.104,-0.078,0.011
-0.060,0.801,0.613,0.112,-0.080,0.016
-0.057,0.799,0.610,0.118,-0.081,0.020
-0.053,0.797,0.605,0.122,-0.082,0.021
-0.050,0.793,0.603,0.126,-0.080,0.021
-0.048,0.789,0.599,0.129,-0.077,0.019
-0.048,0.789,0.598,0.130,-0.073,0.017
-0.045,0.789,0.593,0.132,-0.072,0.015
-0.044,0.789,0.589,0.132,-0.070,0.012
-0.042,0.788,0.588,0.132,-0.066,0.009
-0.042,0.786,0.585,0.131,-0.063,0.004
-0.043,0.788,0.584,0.132,-0.061,0.002

-0.338,0.977,0.650,0.256,0.244,0.052
-0.390,1.006,0.666,0.291,0.267,0.134
-0.449,1.035,0.681,0.329,0.282,0.232
-0.510,1.066,0.698,0.369,0.284,0.348
-0.570,1.084,0.713,0.413,0.269,0.484
-0.633,1.099,0.732,0.455,0.217,0.645
-0.697,1.121,0.747,0.499,0.140,0.822
-0.754,1.154,0.752,0.544,0.076,1.011
-0.810,1.184,0.754,0.595,0.029,1.220
-0.868,1.207,0.755,0.653,-0.007,1.446
-0.930,1.229,0.756,0.714,-0.036,1.689
-1.000,1.249,0.761,0.775,-0.054,1.946
-1.050,1.245,0.767,0.833,-0.068,2.224
-1.096,1.236,0.774,0.885,-0.103,2.532
-1.142,1.233,0.778,0.928,-0.147,2.864
-1.176,1.229,0.773,0.965,-0.183,3.216
-1.205,1.218,0.767,1.001,-0.203,3.592
-1.224,1.182,0.758,1.039,-0.212,3.995
-1.241,1.138,0.751,1.077,-0.233,4.423
-1.244,1.086,0.744,1.114,-0.263,4.866
-1.230,1.019,0.736,1.149,-0.304,5.316
-1.201,0.942,0.727,1.182,-0.367,5.767
-1.157,0.859,0.717,1.210,-0.455,6.208
-1.094,0.771,0.703,1.232,-0.561,6.629
-1.016,0.680,0.686,1.249,-0.676,7.022
-0.580,0.256,0.585,1.237,-1.230,8.301
-0.467,0.164,0.552,1.221,-1.357,8.491
-0.349,0.082,0.518,1.202,-1.473,8.643
-0.231,0.018,0.481,1.181,-1.572,8.754
-0.108,-0.025,0.445,1.158,-1.650,8.830
0.022,-0.057,0.404,1.133,-1.693,8.877
0.145,-0.091,0.362,1.105,-1.708,8.903
0.255,-0.118,0.331,1.075,-1.714,8.910
0.363,-0.137,0.306,1.040,-1.725,8.895
0.476,-0.138,0.281,1.000,-1.738,8.850
0.595,-0.130,0.251,0.963,-1.734,8.778
0.717,-0.116,0.218,0.929,-1.699,8.676
0.833,-0.100,0.187,0.900,-1.626,8.544
0.939,-0.082,0.156,0.880,-1.524,8.380
1.038,-0.065,0.134,0.868,-1.389,8.184
1.127,-0.054,0.117,0.866,-1.230,7.961
1.204,-0.058,0.107,0.871,-1.058,7.718
1.269,-0.069,0.097,0.880,-0.886,7.460
1.327,-0.056,0.093,0.897,-0.713,7.186
1.383,-0.030,0.094,0.912,-0.533,6.888
1.435,-0.005,0.102,0.917,-0.359,6.562
1.480,0.019,0.108,0.911,-0.198,6.209
