aX,aY,aZ,gX,gY,gZ
0.949,0.057,0.130,-0.122,48.035,4.089
0.957,0.063,0.150,-1.343,44.739,5.127
0.958,0.059,0.173,-0.061,42.053,5.920
0.974,0.059,0.177,1.221,42.419,6.470
0.982,0.063,0.183,0.793,44.922,6.531

0.533,0.265,-0.937,-27.954,-100.952,-17.212
0.419,0.309,-1.110,-33.691,-149.780,-28.198
0.395,0.291,-1.257,-35.461,-211.731,-41.870
0.289,0.161,-1.233,-39.429,-290.527,-57.434
0.135,0.005,-1.026,-55.176,-376.892,-64.026
0.075,-0.143,-0.723,-73.181,-458.374,-56.641
0.081,-0.278,-0.318,-83.801,-533.508,-39.001
0.049,-0.394,0.192,-91.736,-604.919,-16.113
-0.001,-0.406,0.741,-97.473,-661.011,12.634
-0.030,-0.304,1.298,-100.830,-686.584,49.683
0.062,-0.116,1.852,-96.497,-674.500,81.787
0.178,0.086,2.310,-87.463,-627.014,97.656
0.254,0.312,2.715,-77.209,-535.217,95.215
0.304,0.555,2.911,-65.674,-406.555,85.938
0.345,0.730,2.875,-43.091,-258.240,72.632
0.387,0.744,2.611,-8.728,-108.704,46.997
0.403,0.591,2.186,18.066,16.602,13.245
0.404,0.411,1.762,23.804,103.394,-15.747
0.450,0.253,1.417,23.071,151.855,-32.410
0.505,0.126,1.149,25.208,164.490,-37.598
0.521,0.088,1.010,20.935,153.503,-30.151
0.555,0.118,0.961,9.705,135.681,-16.418
0.542,0.157,0.974,4.517,123.718,-6.836
0.566,0.186,0.982,3.357,122.559,-2.075
0.600,0.207,0.973,5.371,134.705,-1.770
0.599,0.218,0.941,15.259,153.748,-3.967
0.596,0.220,0.883,30.334,173.157,-7.141
0.614,0.212,0.813,44.678,188.354,-9.094
0.666,0.174,0.713,50.049,197.388,-9.705
0.656,0.164,0.644,44.250,199.219,-9.888
0.680,0.139,0.590,37.048,195.435,-11.536
0.725,0.086,0.549,34.485,190.308,-14.954
0.729,0.034,0.516,29.541,185.242,-16.418
0.735,0.007,0.486,23.560,178.467,-14.343
0.756,-0.002,0.455,21.179,170.532,-10.559
0.785,-0.009,0.424,21.423,160.339,-6.287
0.798,0.003,0.398,20.935,149.597,-2.075
0.800,0.019,0.378,20.325,139.954,0.427
0.816,0.040,0.356,19.409,131.653,2.869
0.850,0.051,0.350,19.226,124.756,3.601
0.841,0.042,0.365,19.348,119.385,3.723
0.830,0.037,0.359,20.630,116.394,4.395
0.842,0.044,0.326,19.531,115.356,7.263
0.849,0.070,0.285,16.968,112.671,10.620
0.847,0.074,0.245,15.625,108.276,12.268
0.842,0.098,0.214,13.794,102.905,11.719
0.865,0.115,0.192,14.526,94.116,11.292
0.884,0.124,0.199,15.015,83.008,10.254
0.899,0.124,0.242,13.000,72.021,8.240
0.919,0.113,0.314,9.338,62.134,7.019

0.449,0.423,-1.053,-2.014,8.545,-27.405
0.319,0.476,-1.434,13.733,-17.151,-49.805
0.125,0.497,-1.820,28.931,-73.975,-74.036
-0.078,0.457,-2.097,38.452,-169.800,-104.980
-0.283,0.260,-2.135,37.842,-303.162,-138.245
-0.518,-0.001,-1.865,8.850,-464.111,-160.217
-0.808,-0.244,-1.286,-53.162,-633.179,-159.851
-0.965,-0.464,-0.470,-121.277,-796.570,-136.597
-0.969,-0.582,0.543,-176.270,-935.425,-96.741
-0.900,-0.548,1.797,-228.882,-1023.865,-45.959
-0.813,-0.241,3.002,-266.846,-1043.335,4.150
-0.594,0.104,4.000,-242.981,-957.397,48.767
-0.362,0.466,4.000,-193.909,-769.592,75.500
-0.096,0.847,4.000,-151.367,-479.065,81.726
0.108,0.903,4.000,-71.472,-133.911,53.894
-0.011,0.650,3.023,23.621,165.100,9.888
0.039,0.355,1.960,85.571,346.619,-16.113
0.134,0.185,1.201,118.774,412.903,-20.630
0.266,0.044,0.666,137.146,379.272,-20.020
